month,day,hour,weekday,ride_count,weekday_num
4,20,19,Sunday,696,6
4,20,20,Sunday,631,6
4,20,21,Sunday,596,6
4,20,22,Sunday,404,6
4,20,23,Sunday,234,6
4,21,0,Monday,113,0
4,21,1,Monday,66,0
4,21,2,Monday,58,0
4,21,3,Monday,131,0
4,21,4,Monday,267,0
4,21,5,Monday,398,0
4,21,6,Monday,674,0
4,21,7,Monday,915,0
4,21,8,Monday,711,0
4,21,9,Monday,522,0
4,21,10,Monday,440,0
4,21,11,Monday,461,0
4,21,12,Monday,443,0
4,21,13,Monday,543,0
4,21,14,Monday,718,0
4,21,15,Monday,836,0
4,21,16,Monday,1013,0
4,21,17,Monday,1063,0
4,21,18,Monday,871,0
4,21,19,Monday,836,0
4,21,20,Monday,734,0
4,21,21,Monday,615,0
4,21,22,Monday,443,0
4,21,23,Monday,291,0
4,22,0,Tuesday,150,1
4,22,1,Tuesday,62,1
4,22,2,Tuesday,61,1
4,22,3,Tuesday,88,1
4,22,4,Tuesday,207,1
4,22,5,Tuesday,327,1
4,22,6,Tuesday,719,1
4,22,7,Tuesday,945,1
4,22,8,Tuesday,802,1
4,22,9,Tuesday,506,1
4,22,10,Tuesday,550,1
4,22,11,Tuesday,522,1
4,22,12,Tuesday,505,1
4,22,13,Tuesday,613,1
4,22,14,Tuesday,834,1
4,22,15,Tuesday,1374,1
4,22,16,Tuesday,1629,1
4,22,17,Tuesday,1612,1
4,22,18,Tuesday,1342,1
4,22,19,Tuesday,1115,1
4,22,20,Tuesday,1118,1
4,22,21,Tuesday,967,1
4,22,22,Tuesday,614,1
4,22,23,Tuesday,313,1
4,23,0,Wednesday,149,2
4,23,1,Wednesday,92,2
4,23,2,Wednesday,64,2
4,23,3,Wednesday,90,2
4,23,4,Wednesday,212,2
4,23,5,Wednesday,383,2
4,23,6,Wednesday,795,2
4,23,7,Wednesday,1088,2
4,23,8,Wednesday,946,2
4,23,9,Wednesday,630,2
4,23,10,Wednesday,694,2
4,23,11,Wednesday,659,2
4,23,12,Wednesday,684,2
4,23,13,Wednesday,782,2
4,23,14,Wednesday,991,2
4,23,15,Wednesday,1280,2
4,23,16,Wednesday,1550,2
4,23,17,Wednesday,1744,2
4,23,18,Wednesday,1516,2
4,23,19,Wednesday,1535,2
4,23,20,Wednesday,1659,2
4,23,21,Wednesday,1393,2
4,23,22,Wednesday,934,2
4,23,23,Wednesday,476,2
4,24,0,Thursday,195,3
4,24,1,Thursday,139,3
4,24,2,Thursday,103,3
4,24,3,Thursday,152,3
4,24,4,Thursday,235,3
4,24,5,Thursday,393,3
4,24,6,Thursday,830,3
4,24,7,Thursday,1114,3
4,24,8,Thursday,1020,3
4,24,9,Thursday,753,3
4,24,10,Thursday,640,3
4,24,11,Thursday,675,3
4,24,12,Thursday,709,3
4,24,13,Thursday,864,3
4,24,14,Thursday,1110,3
4,24,15,Thursday,1423,3
4,24,16,Thursday,1680,3
4,24,17,Thursday,1917,3
4,24,18,Thursday,1794,3
